"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","MDA_status","MDA_start_APOC","IVM_APOC_duration","start_year","end_year","Period","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Kaduna South",1941,36692,"Unknown (under LF MDA)","PC Not yet required",null,1,2017,2017,"Annual",422377,317708,75.2190578558965,1,1,1,1,"ANGA0379336692"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Kajuru Gwagwada",1943,36694,"Endemic (under MDA)","Under PC (Endemic)","1998",16,2017,2017,"Annual",116374,81882,70.3610772165604,1,1,1,1,"ANGA0379336694"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Kaura",1944,36695,"Endemic (under MDA)","Under PC (Endemic)","1998",16,2017,2017,"Annual",178452,150860,84.5381391074351,1,1,1,1,"ANGA0379336695"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Makarfi",1949,36700,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",153523,151541,98.7089882297767,1,1,1,1,"ANGA0379336700"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Kauru",1945,36696,"Endemic (under MDA)","Under PC (Endemic)","1998",16,2017,2017,"Annual",233634,225850,96.6682931422653,1,1,1,1,"ANGA0379336696"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Kubau",1946,36697,"Endemic (under MDA)","Under PC (Endemic)","1998",16,2017,2017,"Annual",296054,295821,99.9212981415553,1,1,1,1,"ANGA0379336697"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Kudan",1947,36698,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379336698"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Lere",1948,36699,"Endemic (under MDA)","Under PC (Endemic)","1998",17,2017,2017,"Annual",347609,340716,98.0170248756505,1,1,1,1,"ANGA0379336699"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Sabon-Gari",1950,36701,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",301120,282224,93.7247608926674,1,1,1,1,"ANGA0379336701"
"AFRO","Nigeria","NG",34,"Gombe",469,"Gombe",1872,36623,"Unknown (under LF MDA)","PC Not yet required",null,0,2017,2017,"Annual",281311,291916,103.7698490283,1,1,1,1,"ANGA0379036623"
"AFRO","Nigeria","NG",34,"Rivers",486,"Ahoada West",2269,37020,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0380737020"
